reason,customer_npi,customer_id,clinic_id,vendor,integration_type,result_enabled,msh06_receiving_facility,clinic_name,updated_at,id,collision_key,rows_in_key,distinct_customers,distinct_vendors
same_customer_duplicate_rows,1659604197,33203,138638,Practice Fusion,FULL_INTEGRATION,1,33169,PrevMed Health,2026-05-14 21:40:37,cmjxapwd5009d0xfqpf06cx04,1659604197|138638,2,1,1
same_customer_duplicate_rows,1659604197,33203,138638,Practice Fusion,FULL_INTEGRATION,1,33169,PrevMed Health,2026-05-14 21:40:37,cmj98e8ok00210xmu1lv1rkkh,1659604197|138638,2,1,1
same_customer_duplicate_rows,1669410171,4275,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,4275,Carpathia Collaborative,2026-05-14 21:40:37,cmj99ijmg000d0xf11e52rypx,1669410171|45311,2,1,1
same_customer_duplicate_rows,1669410171,4275,45311,MDHQ(Cerbo),FULL_INTEGRATION,1,4275,Carpathia Collaborative,2026-05-14 21:40:37,cmjxap7fe002v0xfqo7lsflrc,1669410171|45311,2,1,1
multi_customer,1669430716,1456,75142,ATHENA,FULL_INTEGRATION,1,1456,Littleton OBGYN,2026-05-14 21:40:37,cmjxaq9nl00cr0xfqf8qjv0ms,1669430716|75142,4,2,1
multi_customer,1669430716,1456,75142,ATHENA,FULL_INTEGRATION,1,1456,Littleton OBGYN,2026-05-14 21:40:37,cmj99ox7700150xj1u34lepgh,1669430716|75142,4,2,1
multi_customer,1669430716,1457,75142,ATHENA,FULL_INTEGRATION,1,1457,Littleton OBGYN,2026-05-14 21:40:37,cmj99owew000p0xj1lz83t3p7,1669430716|75142,4,2,1
multi_customer,1669430716,1457,75142,ATHENA,FULL_INTEGRATION,1,1457,Littleton OBGYN,2026-05-14 21:40:37,cmjxaq7y500cb0xfqnuonodsm,1669430716|75142,4,2,1
multi_customer,1669482139,30111,132145,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health,2026-05-14 21:40:37,c0000CMYCWWC502T1I0A84BHX,1669482139|132145,5,5,1
multi_customer,1669482139,30177,132145,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health,2026-05-14 21:40:37,cmjxaoxib000b0xfqcyj7mkci,1669482139|132145,5,5,1
multi_customer,1669482139,31914,132145,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health,2026-05-14 21:40:37,cmjxaoy5c000h0xfqvr6snb8m,1669482139|132145,5,5,1
multi_customer,1669482139,34992,132145,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health,2026-01-02 19:56:59,cmjxaoydm000j0xfqdfp216ag,1669482139|132145,5,5,1
multi_customer,1669482139,34995,132145,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health,2026-01-02 19:56:59,cmjxaoyla000l0xfqe85yz7jq,1669482139|132145,5,5,1
