action,key,npi,id,customer_id,clinic_id,integration_type,vendor,result_enabled,sftp_result_path,own_rtr,own_rtr_last,cust_rtr,keep_id,keep_customer_id,clinic_name,created_at,updated_at
DISABLE,1659604197|138638,1659604197,cmj98e8ok00210xmu1lv1rkkh,33203,138638,FULL_INTEGRATION,PF,1,/Prod/Input/,2,2026-07-29 01:23:50.577,9,cmjxapwd5009d0xfqpf06cx04,33203,PrevMed Health,2025-12-16 23:46:11,2026-05-14 21:40:37
DELETE,1114189784|5759,1114189784,cmj98p9y600010xt5o7pufup6,5106,5759,FULL_INTEGRATION,MDHQ,1,/parsley-sf/results/,0,,0,cmjxapyxm00a10xfqw8fajpbh,5106,Parsley Health SF,2025-12-16 23:54:46,2026-05-14 21:40:37
DELETE,1992180533|NULL,1992180533,cmj98pa2d00030xt5hciclhtf,9896,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxapz5400a30xfq173eiaah,9896,Parsley Health LA,2025-12-16 23:54:46,2025-12-16 23:54:46
DELETE,1992180533|NULL,1992180533,cmqa5kvkr00320x96anf3mfxn,14928,,ORDER_ONLY,,0,,0,,0,cmjxapz5400a30xfq173eiaah,9896,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,2026-06-11 23:53:05
DELETE,1669515649|80455,1669515649,cmj98pa5x00050xt5vuwzy6g4,9881,80455,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxapzcm00a50xfqajr5imv1,9881,Parsley Health LA,2025-12-16 23:54:47,2026-05-14 21:40:37
DELETE,1679508675|NULL,1679508675,cmj98pa9700070xt56ln5ns1v,9894,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxapzkd00a70xfqp2hbwis4,9894,Parsley Health LA,2025-12-16 23:54:47,2025-12-16 23:54:47
DELETE,1609201417|NULL,1609201417,cmj98pack00090xt56bvl4gxa,7352,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxapzsl00a90xfqr8r4qwjj,7352,Parsley Health LA,2025-12-16 23:54:47,2025-12-16 23:54:47
DELETE,1609201417|NULL,1609201417,cmqa5kvkr00350x96j3ppvo34,14931,,ORDER_ONLY,,0,,0,,0,cmjxapzsl00a90xfqr8r4qwjj,7352,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,2026-06-11 23:53:05
DELETE,1255974051|NULL,1255974051,cmj98pag6000b0xt5dyyxu06z,9897,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq00c00ab0xfqf06czlgw,9897,Parsley Health LA,2025-12-16 23:54:47,2025-12-16 23:54:47
DELETE,1255974051|NULL,1255974051,cmqa5kvkr00330x96we9vrvn0,14929,,ORDER_ONLY,,0,,0,,0,cmjxaq00c00ab0xfqf06czlgw,9897,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,2026-06-11 23:53:05
DELETE,1295025658|NULL,1295025658,cmj98pajh000d0xt5dccgmtmp,10837,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq07u00ad0xfqevka9oqs,10837,Parsley Health LA,2025-12-16 23:54:47,2025-12-16 23:54:47
DELETE,1023218161|5759,1023218161,cmj98pan7000f0xt5dqqfw3w6,10833,5759,FULL_INTEGRATION,MDHQ,1,/parsley-sf/results/,0,,0,cmjxaq0fa00af0xfqg0r597wn,10833,Parsley Health SF,2025-12-16 23:54:47,2026-05-14 21:40:37
DELETE,1780913442|80458,1780913442,cmj98paqj000h0xt5b6usjc4m,10834,80458,FULL_INTEGRATION,MDHQ,1,/parsley-sf/results/,0,,0,cmjxaq0mt00ah0xfq8evdaznb,10834,Parsley Health SF,2025-12-16 23:54:47,2026-05-14 21:40:37
DELETE,1306264643|5759,1306264643,cmj98pau2000j0xt5sefakitf,10831,5759,FULL_INTEGRATION,MDHQ,1,/parsley-sf/results/,0,,0,cmjxaq0ue00aj0xfq5kdxgsbo,10831,Parsley Health SF,2025-12-16 23:54:47,2026-05-14 21:40:37
DELETE,1588811095|5759,1588811095,cmj98paxd000l0xt5o0hgae2u,10836,5759,FULL_INTEGRATION,MDHQ,1,/parsley-sf/results/,0,,0,cmjxaq11z00al0xfqn3ii9naq,10836,Parsley Health SF,2025-12-16 23:54:48,2026-05-14 21:40:37
DELETE,1437479029|17147,1437479029,cmj98pb0n000n0xt5rap476oo,10818,17147,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq19y00an0xfq6eyk2oxc,10818,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:48,2026-05-14 21:40:37
DELETE,1023218161|NULL,1023218161,cmj98pb43000p0xt5uhdahq24,10819,,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq1hg00ap0xfq8u44hdln,10819,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:48,2025-12-16 23:54:48
DELETE,1477517258|17147,1477517258,cmjxaq1p800ar0xfqwqitu0y1,10820,17147,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,1,cmj98pb7f000r0xt5zxz80k23,10820,Parsley Health Virtual/Complete Care Anywhere,2025-06-24 19:34:55,2026-05-14 21:40:37
DELETE,1073568739|80461,1073568739,cmj98pbaw000t0xt5v90fo52a,10822,80461,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq1yd00at0xfqpuhczwgb,10822,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:48,2026-05-14 21:40:37
DELETE,1841407368|80443,1841407368,cmj98pbej000v0xt5gm3aeve9,10823,80443,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq27p00av0xfqzbmnbihw,10823,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:48,2026-05-14 21:40:37
DELETE,1245216365|125143,1245216365,cmj98pbi2000x0xt5nl80emrf,10824,125143,FULL_INTEGRATION,MDHQ,1,/parsley-la/results/,0,,0,cmjxaq2h700ax0xfq2jcxmlf7,10824,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:48,2026-05-14 21:40:37
