reason,customer_npi,customer_id,clinic_id,vendor,integration_type,result_enabled,msh06_receiving_facility,clinic_name,updated_at,id
no_clinic_id,1700105301,1970,,ATHENA,FULL_INTEGRATION,1,1970,FEM Centre (Fort Worth),2025-12-17 00:22:30,cmj99oxhg001b0xj1hutfm3iz
no_clinic_id,1710971775,10827,,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2025-12-16 23:54:49,cmj98pbor00110xt5oe48hei2
no_clinic_id,1710971775,10827,,MDHQ(Cerbo),FULL_INTEGRATION,1,10818,Parsley Health Virtual/Complete Care Anywhere,2026-01-02 19:57:51,cmjxaq2xu00b10xfq8txscwi9
no_clinic_id,1750647764,14935,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr00390x96booinqf6
no_clinic_id,1750892741,14948,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvks003l0x96y8havn6m
no_clinic_id,1790723013,2366,,,ORDER_ONLY,0,,Hypertension Institute INT5,2026-06-11 23:53:05,cmqa5kvkm000m0x96t5o2debn
no_clinic_id,1831293018,13911,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr002r0x967giktffe
no_clinic_id,1891088563,2869,,ATHENA,FULL_INTEGRATION,1,2869,Stetson Hills Family Medicine INT5,2026-01-02 19:58:04,cmjxaqceq00dh0xfqvtnkv6bf
no_clinic_id,1891088563,2869,,ATHENA,FULL_INTEGRATION,1,2869,Stetson Hills Family Medicine INT5,2025-12-17 00:22:31,cmj99oygc001v0xj1biorn232
no_clinic_id,1891775185,5812,,POWER2PRACTICE,FULL_INTEGRATION,1,5812,TREAT WELLNESS,2025-12-17 00:22:33,cmj99p023002r0xj19m8kup7m
no_clinic_id,1891775185,5812,,POWER2PRACTICE,FULL_INTEGRATION,1,5812,TREAT WELLNESS,2026-01-02 19:58:09,cmjxaqgmt00el0xfqimoi23q2
no_clinic_id,1891958708,1971,,ATHENA,FULL_INTEGRATION,1,1971,FEM Centre (Fort Worth),2026-01-02 19:58:01,cmjxaqair00cz0xfqe141drep
no_clinic_id,1891958708,1971,,ATHENA,FULL_INTEGRATION,1,1971,FEM Centre (Fort Worth),2025-12-17 00:22:30,cmj99oxkv001d0xj1qtolbpg3
no_clinic_id,1891958708,1977,,,ORDER_ONLY,0,,FEM Centre (Colleyville),2026-06-11 23:53:05,cmqa5kvkm000e0x963ohqh2tv
npi_bad_check_digit,1909112015,9087,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmjxaq6tq00c10xfqtvh8ty37
npi_bad_check_digit,1909112015,9087,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmj99ow2l000j0xj1vqddj5pt
no_clinic_id,1912286568,11730,,,ORDER_ONLY,0,,Parsley Health (4),2026-06-11 23:53:05,cmqa5kvkp00220x96g09tpo5i
no_clinic_id,1912286568,14937,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr003b0x96r2c7f9p0
no_clinic_id,1992180533,14928,,,ORDER_ONLY,0,,Parsley Health Virtual/Complete Care Anywhere,2026-06-11 23:53:05,cmqa5kvkr00320x96anf3mfxn
no_clinic_id,1992180533,9896,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2025-12-16 23:54:46,cmj98pa2d00030xt5hciclhtf
no_clinic_id,1992180533,9896,,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2026-01-02 19:57:46,cmjxapz5400a30xfq173eiaah
npi_bad_check_digit,2019011314,7732,87547,OptimalDX,FULL_INTEGRATION,1,7732,Imperfectly Whole Life,2026-05-14 21:40:37,cmjklx6ie00dp0xfec1ps9k32
npi_bad_check_digit,2019050611,8447,12212,MDHQ(Cerbo),FULL_INTEGRATION,1,12212,Sanctuary Functional Medicine,2025-12-24 23:52:44,cmjklx85800ep0xfe87awch0j
npi_bad_check_digit,2587563039,4477,4676,POWER2PRACTICE,FULL_INTEGRATION,1,4477,ChiRho Chiropractic,2026-05-14 21:40:37,cmjklx0us00a50xfew21h8625
npi_bad_check_digit,9252019003,9178,13634,MDHQ(Cerbo),FULL_INTEGRATION,1,9150,Dallas Vitality 360,2026-05-14 21:40:37,cmjklx9ch00fh0xfe9ud879jo
npi_not_10_digits,IHP ,14829,136227,OptimalDX,FULL_INTEGRATION,1,14829,jfbiowellness,2026-05-14 21:40:37,cmjklwr2f003x0xfec02bbeob
npi_not_10_digits,Internal N,503888,8093,Practice Fusion,FULL_INTEGRATION,1,8093,Kare Health and Wellness,2026-05-14 21:40:37,c0000CMYCWWC50FT3I0A44BHX
npi_not_10_digits,Internal N,506855,14774,ATHENA,FULL_INTEGRATION,1,14774,Los Angeles Integrative Gastroenterology & Nutrition,2026-05-14 21:40:37,cmjxar0f000jl0xfqj05zdgmo
no_customer_npi,,509325,3398,,ORDER_ONLY,0,509325,Apollo Cardiology,2026-06-11 23:53:05,cmqa5kvku00630x96pcpigne5
no_customer_npi,,506615,12881,,ORDER_ONLY,0,506615,Case Integrative Health,2026-06-11 23:53:05,cmqa5kvku00610x9663ueqfbx
no_customer_npi,,506017,12944,MDHQ(Cerbo),FULL_INTEGRATION,1,506017,Valhalla Wellness,2026-02-12 00:57:25,cmkzxxmsxc118a98ede0d4282
no_customer_npi,,508387,19232,MDHQ(Cerbo),FULL_INTEGRATION,1,508387,Sano Health Club,2026-01-02 19:57:44,cmjxapx0g009j0xfqupsgtywe
no_customer_npi,,502816,22106,FOLLOWTHATPATIENT,FULL_INTEGRATION,1,502816,Next Health,2026-06-22 22:51:31,cmqpt82js000d0xre0jmkx19g
no_customer_npi,,523148,22106,FOLLOWTHATPATIENT,FULL_INTEGRATION,1,523148,Next Health,2026-06-22 22:51:31,cmqpt82js000f0xrewe8huiff
no_customer_npi,,1238,43244,eClinicalWorks,FULL_INTEGRATION,1,1238,Atlanta Functional Medicine,2026-05-14 21:55:40,cmjklwolx00290xfev3lyflwu
no_customer_npi,,21860,107857,OptimalDX,FULL_INTEGRATION,1,21860,8 West Clinic,2026-05-14 21:40:37,cmjklwwrk007l0xfee8t2dl30
no_customer_npi,,16121,133580,OptimalDX,FULL_INTEGRATION,1,16121,Paul Burgess Functional Medicine Ltd,2026-05-14 21:40:37,cmjklwsyn00530xfegkcvox1b
no_customer_npi,,999990,137268,,ORDER_ONLY,0,999990,Vibrant IT6 Practice 222,2026-06-11 23:53:05,cmqa5kvkt00510x96gvfbkk1l
